"ID","Title","Is Automated","Steps","Steps","Steps (Step)","Template","is_converted"
"C595","TC-GEN-011: Regenerar reporte con otra plantilla","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder al reporte que se desea regenerar.</li><li>Seleccionar la opción para regenerar o cambiar plantilla.</li><li>Elegir una plantilla diferente de la lista disponible.</li><li>Confirmar la regeneración del reporte con la nueva plantilla.</li><li>Revisar y guardar o descargar el reporte regenerado.</li></ol>","","","Test Case (Text)","1"
"C596","TC-GEN-012: Copiar todo el reporte","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder al reporte que se desea copiar.</li><li>Seleccionar la opción “Copiar todo” o utilizar la función de copiar contenido completo.</li><li>Confirmar que todo el texto del reporte se selecciona y copia al portapapeles.</li><li>Pegar el contenido copiado en otra aplicación o documento para verificar.</li></ol>","","","Test Case (Text)","1"
"C597","TC-GEN-013: Descargar PDF del reporte","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder al reporte que se desea descargar.</li><li>Seleccionar la opción “Descargar PDF” o equivalente.</li><li>Esperar a que el sistema genere el archivo PDF.</li><li>Guardar el archivo PDF en el dispositivo.</li><li>Abrir el PDF descargado para verificar su contenido.</li></ol>","","","Test Case (Text)","1"
"C598","TC-GEN-014: Descargar audio WAV","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la sección donde se encuentra el audio grabado.</li><li>Seleccionar el archivo de audio WAV que se desea descargar.</li><li>Hacer clic en la opción “Descargar” o equivalente.</li><li>Guardar el archivo WAV en el dispositivo.</li><li>Reproducir el archivo descargado para verificar su integridad.</li></ol>","","","Test Case (Text)","1"
"C599","TC-GEN-015: Descargar transcripción VTT","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la sección donde se encuentra la transcripción.</li><li>Seleccionar la transcripción VTT que se desea descargar.</li><li>Hacer clic en la opción “Descargar” o equivalente.</li><li>Guardar el archivo VTT en el dispositivo.</li><li>Abrir el archivo descargado para verificar su contenido.</li></ol>","","","Test Case (Text)","1"
"C600","TC-GEN-016: Descargar todo (ZIP)","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la sección donde se encuentran los archivos a descargar.</li><li>Seleccionar la opción “Descargar todo” o “Exportar ZIP”.</li><li>Esperar a que el sistema genere el archivo ZIP con todos los elementos seleccionados.</li><li>Descargar el archivo ZIP al dispositivo.</li><li>Extraer y revisar el contenido del ZIP para verificar que todos los archivos estén presentes y completos.</li></ol>","","","Test Case (Text)","1"
"C601","TC-GEN-017: Evaluar consulta (rating y comentario)","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder al detalle de la consulta finalizada.</li><li>Localizar la sección de evaluación.</li><li>Seleccionar un rating (por ejemplo, estrellas o puntaje).</li><li>Ingresar un comentario opcional sobre la consulta.</li><li>Guardar o enviar la evaluación.</li></ol>","","","Test Case (Text)","1"
"C602","TC-GEN-018: Finalizar consulta correctamente","Yes","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la consulta activa.</li><li>Pulsar el botón “Finalizar consulta”.</li><li>Confirmar la acción si se solicita.</li><li>Esperar a que el sistema procese la finalización.</li><li>Verificar que la consulta cambia a estado finalizada y no permite más ediciones.</li></ol>","","","Test Case (Text)","1"
"C603","TC-GEN-019: Cancelar consulta sin completar","No","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Acceder a la consulta activa que se desea cancelar.</li><li>Seleccionar la opción “Cancelar consulta”.</li><li>Confirmar la cancelación si se solicita.</li><li>Esperar a que el sistema procese la cancelación.</li><li>Verificar que la consulta cambia a estado cancelada y no permite más acciones.</li></ol>","","","Test Case (Text)","1"
"C604","TC-GEN-020: Validar indicador de red durante consulta","Yes","<ol style='padding-inline-start: 28px; color: rgb(204, 204, 204); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(24, 24, 24); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' id=""isPasted""><li>Iniciar o acceder a una consulta activa.</li><li>Observar el indicador de estado de red en la interfaz durante la consulta.</li><li>Simular cambios en la conexión de red (desconectar/reconectar o degradar la señal).</li><li>Verificar que el indicador refleja correctamente el estado de la red en tiempo real.</li><li>Continuar la consulta y observar si el indicador se actualiza ante cambios de red.</li></ol>","","","Test Case (Text)","1"
"C605","TC-GEN-021: Subir archivo de audio WAV","Yes","<ol style='padding-inline-start: 28px; color: rgb(191, 191, 191); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(25, 26, 27); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' data-pasted=""true""><li style=""margin: 4px 0px"">Acceder a la sección que permite subir archivos de audio (ej: Notas, Transcripción, Aura, Genesis)</li><li style=""margin: 4px 0px"">Localizar el botón o área para cargar archivo de audio</li><li style=""margin: 4px 0px"">Hacer clic en ""Subir archivo"", ""Cargar audio"" o similar</li><li style=""margin: 4px 0px"">Seleccionar un archivo WAV del dispositivo local</li><li style=""margin: 4px 0px"">Confirmar la selección del archivo</li><li style=""margin: 4px 0px"">Esperar a que se inicie la carga del archivo</li><li style=""margin: 4px 0px"">Verificar el progreso de carga (barra de progreso o indicador de estado)</li><li style=""margin: 4px 0px"">Aguardar a que se complete la carga</li><li style=""margin: 4px 0px"">Verificar que aparezca confirmación de carga exitosa</li><li style=""margin: 4px 0px"">Validar que el archivo aparezca en la lista o se haya procesado</li><li style=""margin: 4px 0px"">Si aplica, validar que se haya generado transcripción o procesamiento</li><li style=""margin: 4px 0px"">Intentar reproducir el audio si esa funcionalidad existe</li></ol>","","","Test Case (Text)","1"
"C606","TC-GEN-022: Subir archivo de audio MP3","Yes","<ol style='padding-inline-start: 28px; color: rgb(191, 191, 191); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(25, 26, 27); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' data-pasted=""true""><li style=""margin: 4px 0px"">Acceder a la sección que permite subir archivos de audio (ej: Notas, Transcripción, Aura, Genesis)</li><li style=""margin: 4px 0px"">Localizar el botón o área para cargar archivo de audio</li><li style=""margin: 4px 0px"">Hacer clic en ""Subir archivo"", ""Cargar audio"" o similar</li><li style=""margin: 4px 0px"">Seleccionar un archivo MP3 del dispositivo local</li><li style=""margin: 4px 0px"">Confirmar la selección del archivo</li><li style=""margin: 4px 0px"">Esperar a que se inicie la carga del archivo</li><li style=""margin: 4px 0px"">Verificar el progreso de carga (barra de progreso o indicador de estado)</li><li style=""margin: 4px 0px"">Aguardar a que se complete la carga</li><li style=""margin: 4px 0px"">Verificar que aparezca confirmación de carga exitosa</li><li style=""margin: 4px 0px"">Validar que el archivo aparezca en la lista o se haya procesado</li><li style=""margin: 4px 0px"">Si aplica, validar que se haya generado transcripción o procesamiento</li><li style=""margin: 4px 0px"">Intentar reproducir el audio si esa funcionalidad existe</li></ol>","","","Test Case (Text)","1"
"C607","TC-GEN-023: Validar tamaño máximo de archivo (error)","No","<ol style='padding-inline-start: 28px; color: rgb(191, 191, 191); font-family: ""Segoe WPC"", ""Segoe UI"", sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(25, 26, 27); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial' data-pasted=""true""><li style=""margin: 4px 0px"">Acceder a la sección que permite subir archivos (Notas, Audio, Documentos, etc.)</li><li style=""margin: 4px 0px"">Localizar el botón o área para cargar archivo</li><li style=""margin: 4px 0px"">Hacer clic en ""Subir archivo"", ""Cargar archivo"" o similar</li><li style=""margin: 4px 0px"">Seleccionar un archivo que exceda el límite máximo de tamaño permitido</li><li style=""margin: 4px 0px"">Confirmar la selección del archivo</li><li style=""margin: 4px 0px"">Esperar la respuesta del sistema</li><li style=""margin: 4px 0px"">Verificar si se rechaza el archivo antes de intentar cargar</li><li style=""margin: 4px 0px"">Si se permite iniciar carga, esperar a que se interrumpa o rechace</li><li style=""margin: 4px 0px"">Revisar el mensaje de error mostrado al usuario</li><li style=""margin: 4px 0px"">Verificar el código de error en la consola del navegador (Network tab)</li><li style=""margin: 4px 0px"">Intentar subir el mismo archivo desde otro navegador</li><li style=""margin: 4px 0px"">Intentar subir un archivo que esté justo en el límite o ligeramente debajo</li></ol>","","","Test Case (Text)","1"
